IDNUMBER,DPHID,NAME,SHORTNAME,ADDRESS,TOWN,GEOG_TOWN,ZIPCODE,CHIAREGION,TELEPHONE,COHORT,HOSPSYSTEM,TAXSTATUS,BEDCOUNT,ER_STATUS,TRAUMA_ADU,TRAUMA_PED,SPEPUBFUND,FYE,MADID,EMSREGION
2069,2069,Beth Israel Deaconess Medical Center East,BIDMC East,330 Brookline Avenue,Boston,BOSTON,02215,Metro Boston,(617) 667-7000,Academic Medical Center,CareGroup,Non-profit,248,N,,,Not Applicable,9/30/2017,35022096,4
2085,2085,Steward St. Elizabeth's Medical Center,St. Elizabeth's Medical Center,736 Cambridge Street,Brighton,BOSTON,02135,Metro Boston,(617) 789-3000,Teaching Hospital,Steward Health Care System,For profit,252,Y,,,Not Applicable,12/31/2017,35156980,4
2299,2299,Tufts Medical Center,Tufts Medical Center,800 Washington Street,Boston,BOSTON,02111,Metro Boston,(617) 636-5000,Academic Medical Center,Wellforce,Non-profit,415,Y,Level 1,Level 1,Not Applicable,9/30/2017,35145764,4
2103,2103,UMass Memorial Marlborough Hospital,Marlborough Hospital,157 Union Street,Marlborough,MARLBOROUGH,01752,Metro West,(508) 481-5000,Community High Public Payer Hospital,UMass Memorial Health Care,Non-profit,79,Y,,,CHART,9/30/2017,1613538,4
2167,2167,Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary,243 Charles Street,Boston,BOSTON,02114,Metro Boston,(617) 523-7900,Specialty Hospital,Not Applicable,Non-profit,41,Y,,,Not Applicable,9/30/2017,35163139,4
2316,2316,Shriners Hospital For Children - Boston,Shriners Boston,51 Blossom Street,Boston,BOSTON,02114,Metro Boston,(617) 722-3000,Specialty Hospital,Shriners Hospital for Children,Non-profit,30,N,,,Not Applicable,12/31/2017,35016066,4
2168,2168,Massachusetts General Hospital,Massachusetts General Hospital,55 Fruit Street,Boston,BOSTON,02114,Metro Boston,(617) 726-2000,Academic Medical Center,Partners HealthCare System,Non-profit,1035,Y,Level 1,Level 1,Not Applicable,9/30/2017,35155723,4
2071,2071,Mount Auburn Hospital,Mount Auburn Hospital,330 Mount Auburn Street,Cambridge,CAMBRIDGE,02138,Metro Boston,(617) 492-3500,Teaching Hospital,CareGroup,Non-profit,217,Y,,,Not Applicable,9/30/2017,3619685,4
2108,2108,CHA Cambridge Hospital,Cambridge Hospital,1493 Cambridge Street,Cambridge,CAMBRIDGE,02139,Metro Boston,(617) 665-1000,Teaching Hospital,Not Applicable,Municipal,189,Y,,,DSTI,6/30/2017,3618038,4
2046,2046,CHA Everett Hospital,Everett Hospital,103 Garland Street,Everett,EVERETT,02149,Metro Boston,(617) 389-6270,Teaching Hospital,Not Applicable,Municipal,162,Y,,,DSTI,,3508585,3
2038,2038,Lawrence Memorial Hospital of Medford,Lawrence Memorial Hospital of Medford,170 Governors Avenue,Medford,MEDFORD,02155,Metro Boston,(781) 306-6000,Community High Public Payer Hospital,Wellforce,Non-profit,98,Y,,,CHART,9/30/2017,2574987,3
2018,2018,Emerson Hospital,Emerson Hospital,133 Old Road to Nine Acre Corner,Concord,CONCORD,01742,Northeastern Massachusetts,(978) 369-1400,Community Hospital,Not Applicable,Non-profit,150,Y,,,CHART,9/30/2017,2354670,4
2058,2058,Melrose-Wakefield Hospital,Melrose-Wakefield Hospital,585 Lebanon Street,Melrose,MELROSE,02176,Metro Boston,(781) 979-3000,Community High Public Payer Hospital,Wellforce,Non-profit,174,Y,,,,,3061173,3
2094,2094,Winchester Hospital,Winchester Hospital,41 Highland Avenue,Winchester,WINCHESTER,01890,Northeastern Massachusetts,(781) 729-9000,Community Hospital,Lahey Health System,Non-profit,189,Y,,,CHART,9/30/2017,2998817,4
2313,2313,Berkshire Medical Center,Berkshire Medical Center,725 North Street,Pittsfield,PITTSFIELD,01201,Western Massachusetts,(413) 447-2000,Community High Public Payer Hospital,Berkshire Health Systems,Non-profit,298,Y,Level 3,,CHART,9/30/2017,185652,1
2342,2342,Lahey Hospital & Medical Center - Burlington,Lahey Hospital & Medical Center,41 Mall Road,Burlington,BURLINGTON,01806,Northeastern Massachusetts,(781) 744-5100,Teaching Hospital,Lahey Health System,Non-profit,335,Y,Level 2,,,,2423715,4
2008,2008,North Shore Medical Center - Union Hospital,Union Hospital,500 Lynnfield Street,Lynn,LYNN,01904,Northeastern Massachusetts,(781) 581-9200,Community High Public Payer Hospital,Partners HealthCare System,Non-profit,128,Y,Level 3,,,,3776561,3
2014,2014,North Shore Medical Center - Salem Hospital,Salem Hospital,81 Highland Avenue,Salem,SALEM,01970,Northeastern Massachusetts,(978) 741-1200,Community High Public Payer Hospital,Partners HealthCare System,Non-profit,268,Y,Level 3,,,,3880329,3
2161,2161,Lahey Medical Center - Peabody,Lahey Medical Center,1 Essex Center Drive,Peabody,PEABODY,01960,Northeastern Massachusetts,(978) 538-4000,Teaching Hospital,Lahey Health System,Non-profit,10,Y,,,,,3720038,3
2127,2127,UMass Memorial HealthAlliance-Clinton Hospital Leominster,HealthAlliance Hospital - Leominster Campus,60 Hospital Road,Leominster,LEOMINSTER,01453,Central Massachusetts,(978) 466-2000,Community High Public Payer Hospital,UMass Memorial Health Care,Non-profit,122,Y,,,,,1586756,2
2298,2298,Steward Nashoba Valley Medical Center,Nashoba Valley Medical Center,200 Groton Street,Ayer,AYER,01432,Northeastern Massachusetts,(978) 784-9000,Community High Public Payer Hospital,Steward Health Care System,For profit,77,Y,,,Not Applicable,12/31/2017,2255436,2
2036,2036,Heywood Hospital,Heywood Memorial Hospital,242 Green Street,Gardner,GARDNER,01440,Central Massachusetts,(978) 632-3420,Community Hospital,Heywood Healthcare,Non-profit,134,Y,,,CHART,9/30/2017,1099567,2
2226,2226,Athol Memorial Hospital,Athol Hospital,2033 Main Street,Athol,ATHOL,01331,Central Massachusetts,(978) 249-3511,Community High Public Payer Hospital,Heywood Healthcare,Non-profit,25,Y,,,CHART,9/30/2017,909547,2
2120,2120,Baystate Franklin Medical Center,Baystate Franklin Medical Center,164 High Street,Greenfield,GREENFIELD,01301,Western Massachusetts,(413) 773-0211,Community High Public Payer Hospital,Baystate Health,Non-profit,89,Y,,,CHART,9/30/2017,214104,1
2016,2016,Northeast Hospital - Addison Gilbert Campus,Addison Gilbert Hospital,298 Washington Street,Gloucester,GLOUCESTER,01930,Northeastern Massachusetts,(978) 283-4000,Community High Public Payer Hospital,Lahey Health System,Non-profit,79,Y,,,CHART,,3379562,3
2029,2029,Lowell General Hospital - Saints Campus,Lowell General Hospital - Saints Campus,1 Hospital Drive,Lowell,LOWELL,01852,Northeastern Massachusetts,(978) 458-1411,Community High Public Payer Hospital,Wellforce,Non-profit,157,Y,,,CHART,,1995564,3
2040,2040,Lowell General Hospital,Lowell General Hospital,295 Varnum Avenue,Lowell,LOWELL,01854,Northeastern Massachusetts,(978) 937-6000,Community High Public Payer Hospital,Wellforce,Non-profit,239,Y,Level 3,,CHART,9/30/2017,1994486,3
2044,2044,Nantucket Cottage Hospital,Nantucket Cottage Hospital,57 Prospect Street,Nantucket,NANTUCKET,02554,Cape and Islands,(508) 825-8100,Community Hospital,Partners HealthCare System,Non-profit,19,Y,,,Not Applicable,9/30/2017,2645721,5
2042,2042,Martha's Vineyard Hospital,Martha's Vineyard Hospital,One Hospital Road,Oak Bluffs,OAK BLUFFS,02557,Cape and Islands,(508) 693-0410,Community Hospital,Partners HealthCare System,Non-profit,25,Y,,,Not Applicable,9/30/2017,1739685,5
2289,2289,Falmouth Hospital,Falmouth Hospital,100 Ter Heun Drive,Falmouth,FALMOUTH,02540,Cape and Islands,(508) 548-5300,Community High Public Payer Hospital,Cape Cod Healthcare,Non-profit,95,Y,,,Not Applicable,9/30/2017,1326078,5
2010,2010,Southcoast Health - St. Luke's Hospital,St. Luke's Hospital,101 Page Street,New Bedford,NEW BEDFORD,02740,Southcoast,(508) 997-1515,Community High Public Payer Hospital,Not Applicable,Non-profit,391,Y,,,CHART,9/30/2017,4266437,5
2135,2135,Cape Cod Hospital,Cape Cod Hospital,27 Park Street,Hyannis,BARNSTABLE,02601,Cape and Islands,(508) 771-1800,Community High Public Payer Hospital,Cape Cod Healthcare,Non-profit,252,Y,,,Not Applicable,9/30/2017,1233240,5
2011,2011,Steward Saint Anne's Hospital,Saint Anne's Hospital,795 Middle Street,Fall River,FALL RIVER,02721,Southcoast,(508) 674-5600,Community High Public Payer Hospital,Steward Health Care System,For profit,185,Y,,,Not Applicable,12/31/2017,3942483,5
2337,2337,Southcoast Health - Charlton Memorial Hospital,Charlton Memorial Hospital,363 Highland Avenue,Fall River,FALL RIVER,02720,Southcoast,(508) 679-3131,Community High Public Payer Hospital,Not Applicable,Non-profit,328,Y,,,CHART,,3945744,5
2106,2106,Southcoast Health - Tobey Hospital,Tobey Hospital,43 High Street,Wareham,WAREHAM,02571,Southcoast,(508) 295-0880,Community High Public Payer Hospital,Not Applicable,Non-profit,74,Y,,,CHART,,3743836,5
2022,2022,Steward Morton Hospital,Morton Hospital,88 Washington Street,Taunton,TAUNTON,02780,Metro South,(508) 828-7000,Community High Public Payer Hospital,Steward Health Care System,For profit,125,Y,,,Not Applicable,12/31/2017,2670413,5
2100,2100,Sturdy Memorial Hospital,Sturdy Memorial Hospital,211 Park Street,Attleboro,ATTLEBORO,02703,Metro West,(508) 222-5200,Community High Public Payer Hospital,Not Applicable,Non-profit,132,Y,,,Not Applicable,9/30/2017,4188520,5
2082,2082,Beth Israel Deaconess Hospital - Plymouth,Beth Israel Plymouth,275 Sandwich Street,Plymouth,PLYMOUTH,02360,Metro South,(508) 746-2000,Community High Public Payer Hospital,CareGroup,Non-profit,160,Y,,,CHART,9/30/2017,2179839,5
2143,2143,Harrington Memorial Hospital,Harrington Memorial Hospital,100 South Street,Southbridge,SOUTHBRIDGE,01550,Central Massachusetts,(508) 765-9771,Community High Public Payer Hospital,Not Applicable,Non-profit,114,Y,,,CHART,9/30/2017,1037026,2
2118,2118,Signature Healthcare Brockton Hospital,Brockton Hospital,680 Centre Street,Brockton,BROCKTON,02302,Metro South,(508) 941-7000,Community High Public Payer Hospital,Not Applicable,Non-profit,197,Y,,,"CHART, DSTI",9/30/2017,3282608,5
2311,2311,Steward Good Samaritan Medical Center,Good Samaritan Medical Center,235 North Pearl Street,Brockton,BROCKTON,02301,Metro South,(508) 427-3000,Community High Public Payer Hospital,Steward Health Care System,For profit,224,Y,Level 3,,,,3260755,5
2149,2149,Mercy Medical Center,Mercy Medical Center,271 Carew Street,Springfield,SPRINGFIELD,01104,Western Massachusetts,(413) 748-9000,Community High Public Payer Hospital,Not Applicable,Non-profit,229,Y,,,"CHART, DSTI",6/30/2017,577057,1
2076,2076,Baystate Noble Hospital,Baystate Noble Hospital,115 West Silver Street,Westfield,WESTFIELD,01085,Western Massachusetts,(413) 568-2811,Community High Public Payer Hospital,Baystate Health,Non-profit,97,Y,,,CHART,9/30/2017,974436,1
2152,2152,Shriners Hospital For Children - Springfield,Shriners Springfield,516 Carew Street,Springfield,SPRINGFIELD,01104,Western Massachusetts,(413) 787-2000,Specialty Hospital,Shriners Hospital for Children,Non-profit,40,N,,,Not Applicable,12/31/2017,612603,1
2339,2339,Baystate Medical Center,Baystate Medical Center,759 Chestnut Street,Springfield,SPRINGFIELD,01199,Western Massachusetts,(413) 794-0000,Teaching Hospital,Baystate Health,Non-profit,710,Y,Level 1,Level 2,CHART,9/30/2017,568481,1
2105,2105,Milford Regional Medical Center,Milford Regional Medical Center,14 Prospect Street,Milford,MILFORD,01757,Metro West,(508) 473-1190,Community Hospital,Not Applicable,Non-profit,145,Y,,,CHART,9/30/2017,1690256,2
2181,2181,Baystate Wing Hospital And Medical Centers,Baystate Wing Hospital,40 Wright Street,Palmer,PALMER,01069,Western Massachusetts,(413) 283-7651,Community High Public Payer Hospital,Baystate Health,Non-profit,74,Y,,,CHART,9/30/2017,1057945,1
2107,2107,South Shore Hospital,South Shore Hospital,55 Fogg Road,Weymouth,WEYMOUTH,02190,Metro South,(781) 624-8000,Community Hospital,Not Applicable,Non-profit,370,Y,Level 2,,Not Applicable,9/30/2017,3480104,4
2114,2114,Steward Norwood Hospital,Norwood Hospital,800 Washington Street,Norwood,NORWOOD,02062,Metro West,(781) 769-4000,Community Hospital,Steward Health Care System,For profit,215,Y,,,Not Applicable,12/31/2017,3099662,4
2145,2145,Holyoke Medical Center,Holyoke Medical Center,575 Beech Street,Holyoke,HOLYOKE,01040,Western Massachusetts,(413) 534-2500,Community High Public Payer Hospital,Not Applicable,Non-profit,198,Y,,,"CHART, DSTI",9/30/2017,229025,1
2052,2052,Fairview Hospital,Fairview Hospital,29 Lewis Avenue,Great Barrington,GREAT BARRINGTON,01230,Western Massachusetts,(413) 528-8600,Community High Public Payer Hospital,Berkshire Health Systems,Non-profit,25,Y,,,Not Applicable,9/30/2017,209847,1
2227,2227,Beth Israel Deaconess Hospital - Milton,Beth Israel Milton,199 Reedsdale Road,Milton,MILTON,02186,Metro Boston,(617) 696-4600,Community Hospital,CareGroup,Non-profit,88,Y,,,CHART,9/30/2017,2786440,4
2128,2128,Saint Vincent Hospital,Saint Vincent Hospital,123 Summer Street,Worcester,WORCESTER,01608,Central Massachusetts,(508) 363-5000,Teaching Hospital,Tenet Healthcare,For profit,283,Y,,,Not Applicable,12/31/2017,1372713,2
2124,2124,UMass Memorial Medical Center - Memorial Campus,UMass Memorial Campus,119 Belmont Street,Worcester,WORCESTER,01605,Central Massachusetts,(508) 334-1000,Academic Medical Center,UMass Memorial Health Care,Non-profit,303,Y,,,,,1403410,2
2054,2054,Beth Israel Deaconess Hospital - Needham,Beth Israel Needham,148 Chestnut Street,Needham,NEEDHAM,02192,Metro Boston,(781) 453-3000,Community Hospital,CareGroup,Non-profit,58,Y,,,Not Applicable,9/30/2017,2804126,4
2841,2841,UMass Memorial Medical Center - University Campus,UMass University Campus,55 Lake Avenue North,Worcester,WORCESTER,01655,Central Massachusetts,(508) 334-1000,Academic Medical Center,UMass Memorial Health Care,Non-profit,431,Y,Level 1,Level 2,Not Applicable,9/30/2017,1368499,2
2003,2003,Steward Carney Hospital,Carney Hospital,2100 Dorchester Avenue,Boston,BOSTON,02124,Metro Boston,(617) 296-4000,Teaching Hospital,Steward Health Care System,For profit,159,Y,,,DSTI,12/31/2017,35048511,4
2039,2039,Metrowest Medical Center-Leonard Morse Hospital,Leonard Morse Hospital,67 Union Street,Natick,NATICK,01760,Metro West,(508) 650-7000,Community High Public Payer Hospital,Tenet Healthcare,For profit,160,Y,,,,,1665527,4
2020,2020,Metrowest Medical Center-Framingham Union Hospital,Framingham Union Hospital,115 Lincoln Street,Framingham,FRAMINGHAM,01702,Metro West,(508) 383-1000,Community High Public Payer Hospital,Tenet Healthcare,For profit,147,Y,,,Not Applicable,12/31/2017,4134076,4
2048,2048,Brigham and Women's Faulkner Hospital,Brigham and Women's Faulkner Hospital,1153 Centre Street,Boston,BOSTON,02130,Metro Boston,(617) 983-7000,Community Hospital,Partners HealthCare System,Non-profit,162,Y,,,Not Applicable,9/30/2017,35027528,4
2059,2059,New England Baptist Hospital,New England Baptist Hospital,125 Parker Hill Avenue,Boston,BOSTON,02120,Metro Boston,(617) 754-5000,Specialty Hospital,CareGroup,Non-profit,118,N,,,Not Applicable,9/30/2017,35107950,4
2075,2075,Newton-Wellesley Hospital,Newton-Wellesley Hospital,2014 Washington Street,Newton,NEWTON,02462,Metro Boston,(617) 243-6000,Community Hospital,Partners HealthCare System,Non-profit,265,Y,,,Not Applicable,9/30/2017,2726703,4
2307,2307,Boston Medical Center - Menino Pavilion,BMC - Menino Pavilion,830-840 Harrison Avenue,Boston,BOSTON,02118,Metro Boston,(617) 414-4128,Academic Medical Center,Not Applicable,Non-profit,288,Y,Level 1,Level 2,DSTI,9/30/2017,35341552,4
2155,2155,Cooley Dickinson Hospital,Cooley Dickinson Hospital,30 Locust Street,Northampton,NORTHAMPTON,01060,Western Massachusetts,(413) 582-2000,Community Hospital,Partners HealthCare System,Non-profit,140,Y,,,Not Applicable,9/30/2017,690520,1
2341,2341,Brigham and Women's Hospital,Brigham and Women's Hospital,75 Francis Street,Boston,BOSTON,02115,Metro Boston,(617) 732-5500,Academic Medical Center,Partners HealthCare System,Non-profit,763,Y,Level 1,,,,35158148,4
2084,2084,Boston Medical Center - Newton Pavilion,BMC - Newton Pavilion,88 East Newton Street,Boston,BOSTON,02118,Metro Boston,(617) 638-6090,Academic Medical Center,Not Applicable,Non-profit,214,Y,,,DSTI,,35155949,4
2139,2139,Boston Children's Hospital,Boston Children's Hospital,300 Longwood Avenue,Boston,BOSTON,02115,Metro Boston,(617) 355-6000,Specialty Hospital,Not Applicable,Non-profit,404,Y,,Level 1,Not Applicable,9/30/2017,35087170,4
2335,2335,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,450 Brookline Avenue,Boston,BOSTON,02215,Metro Boston,(617) 632-3000,Specialty Hospital,Not Applicable,Non-profit,0,N,,,Not Applicable,9/30/2017,35351849,4
2092,2092,Beth Israel Deaconess Medical Center West,BIDMC West,One Deaconess Road,Boston,BOSTON,02215,Metro Boston,(617) 667-7000,Academic Medical Center,CareGroup,Non-profit,405,Y,Level 1,,,,35046816,4
2126,2126,UMass Memorial HealthAlliance-Clinton Hospital,HealthAlliance-Clinton Hospital,201 Highland Street,Clinton,CLINTON,01510,Central Massachusetts,(978) 368-3000,Community High Public Payer Hospital,UMass Memorial Health Care,Non-profit,41,Y,,,Not Applicable,9/30/2017,1299604,2
2007,2007,Northeast Hospital - Beverly Hospital Campus,Beverly Hospital,85 Herrick Street,Beverly,BEVERLY,01915,Northeastern Massachusetts,(978) 922-3000,Community High Public Payer Hospital,Lahey Health System,Non-profit,223,Y,Level 3,,CHART,9/30/2017,30603,3
2099,2099,Lawrence General Hospital,Lawrence General Hospital,One General Street,Lawrence,LAWRENCE,01842,Northeastern Massachusetts,(978) 683-4000,Community High Public Payer Hospital,Not Applicable,Non-profit,189,Y,Level 3,,"CHART, DSTI",9/30/2017,2105337,3
2225,2225,Steward Holy Family Hospital - Methuen,Holy Family Hospital-Methuen,70 East Street,Methuen,METHUEN,01844,Northeastern Massachusetts,(978) 687-0151,Community High Public Payer Hospital,Steward Health Care System,For profit,223,Y,,,Not Applicable,12/31/2017,2067363,3
2131,2131,Steward Holy Family Hospital - Haverhill,Holy Family Hospital-Haverhill,140 Lincoln Avenue,Haverhill,HAVERHILL,01830,Northeastern Massachusetts,(978) 374-2000,Community High Public Payer Hospital,Steward Health Care System,Non-profit,124,Y,,,,,2228036,3
2006,2006,Anna Jaques Hospital,Anna Jaques Hospital,25 Highland Avenue,Newburyport,NEWBURYPORT,01950,Northeastern Massachusetts,(978) 463-1000,Community Hospital,Not Applicable,Non-profit,111,Y,Level 3,,CHART,9/30/2017,3872436,3
